

        D3.5 (NH)   D3.5 (SH)   D7.0 (NH)   D7.0 (SH)    GR(NH)      GR(SH)
month   mrf   ctl   mrf   ctl   mrf   ctl   mrf   ctl   mrf   ctl   mrf   ctl
-----------------------------------------------------------------------------
jul00   30.5  31.7  53.3  54.2  62.7  62.1 107.6 105.7  32.2  30.5  54.3  51.6
aug00   30.7  32.0  55.3  56.0  63.1  62.9 110.4 106.8  32.4  30.9  55.0  50.7
sep00   39.7  42.1  51.4  51.5  83.5  81.6 103.9  98.8  43.8  39.5  52.5  47.2
oct00   41.0  41.3  51.1  50.9  87.0  84.8 102.1  99.4  46.0  43.4  50.9  48.5
nov00   41.1  41.6  47.5  48.0  85.5  83.2  89.2  87.0  44.4  41.7  41.7  39.0
dec00   45.9  46.1  45.8  45.9  92.2  91.5  87.2  84.2  46.3  45.4  41.4  38.3
jan01   43.7  44.2  43.9  45.6  86.9  86.5  88.9  85.6  43.2  42.3  45.0  40.0
feb01   46.6  47.6  43.3  45.6  95.6  93.2  88.2  86.5  49.0  45.7  44.9  40.9
mar01   44.3  44.2  45.3  46.5  89.6  87.8  90.1  88.0  45.3  43.6  44.8  41.5
apr01   42.5  42.4  50.4  51.3  91.1  88.7  98.9  97.1  48.5  46.3  48.4  45.8
may01   35.8  36.7  51.4  52.0  79.2  74.8  97.3  97.8  43.4  38.1  45.9  45.9
jun01   30.6  30.8  53.3  55.0  67.2  65.2 104.7 103.2  36.5  34.4  51.3  48.2
jul01   27.9  28.3  50.5  51.7  58.8  56.6 101.6 101.2  31.0  28.3  51.0  49.6
aug01   30.1  30.3  50.0  51.3  58.1  58.2 102.3 101.8  28.0  28.0  52.3  50.5
