2000sum 1.0000 0.9998 0.9998   0.00   1.39   1.42  14.03 1.0000 0.9999 0.9999   0.00   1.31   1.42  48.96 
2000fal 1.0000 0.9999 0.9999   0.00   1.37   1.38  17.80 1.0000 0.9999 0.9999   0.00   1.21   1.38  52.33 
0001win 1.0000 0.9999 0.9999   0.04   1.43   1.45  16.79 1.0000 0.9999 0.9999   0.05   1.15   1.28  36.76 
2001spr 1.0000 0.9999 0.9999   0.00   1.33   1.36  13.23 1.0000 0.9999 0.9999   0.00   1.23   1.32  37.31 
2001sum 1.0000 0.9999 0.9999   0.00   1.16   1.17  10.24 1.0000 0.9999 0.9999   0.00   1.36   1.46  40.53 
2001fal 1.0000 0.9999 0.9999   0.00   1.34   1.36  12.42 1.0000 0.9999 0.9999   0.00   1.34   1.44  37.34 
0102win 1.0000 0.9999 0.9999   0.00   1.46   1.48  16.06 1.0000 0.9999 0.9999   0.00   1.23   1.31  34.42 
2002spr 1.0000 0.9999 0.9999   0.00   1.43   1.44  14.37 1.0000 0.9999 0.9999   0.00   1.57   1.67  41.75 
2002sum 1.0000 0.9999 0.9999   0.00   1.13   1.14  10.60 1.0000 0.9999 0.9999   0.00   1.37   1.48  45.20 
2002fal 1.0000 0.9999 0.9999   0.00   1.63   1.64  12.65 1.0000 0.9999 0.9999   0.00   1.48   1.58  41.76 
0203win 1.0000 0.9998 0.9998   0.00   2.39   2.40  16.67 1.0000 0.9998 0.9998   0.00   1.72   1.79  34.20 
2003spr 1.0000 0.9998 0.9998   0.00   2.17   2.18  13.15 1.0000 0.9999 0.9999   0.00   1.81   1.87  33.28 
2003sum 1.0000 0.9996 0.9996   0.00   1.93   1.94   8.85 1.0000 0.9999 0.9999   0.00   1.89   1.92  25.13 
2003fal 1.0000 0.9998 0.9998   0.00   1.97   1.97  10.86 1.0000 0.9999 0.9999   0.00   1.70   1.72  23.17 
0304win 1.0000 0.9999 0.9999   0.00   1.24   1.25  13.51 1.0000 1.0000 1.0000   0.00   0.87   0.88  23.92 
2000sum 0.9892 0.9874 0.9862  10.08  10.98  11.41  18.82 0.9886 0.9873 0.9795  17.16  18.25  23.08  55.98 
2000fal 0.9910 0.9901 0.9887  11.82  12.55  13.27  24.07 0.9867 0.9860 0.9721  16.13  16.72  23.42  59.65 
0001win 0.9916 0.9908 0.9904  13.58  14.23  14.42  22.80 0.9843 0.9837 0.9765  14.74  15.40  17.84  43.70 
2001spr 0.9927 0.9920 0.9918  11.31  11.89  11.94  18.60 0.9888 0.9881 0.9835  15.63  16.30  18.85  44.70 
2001sum 0.9920 0.9910 0.9906   8.86   9.32   9.26  14.38 0.9898 0.9889 0.9839  15.94  16.52  19.92  48.13 
2001fal 0.9932 0.9923 0.9920  11.15  11.57  11.56  18.11 0.9882 0.9874 0.9814  15.80  16.13  19.15  44.01 
0102win 0.9932 0.9926 0.9924  13.62  13.92  13.85  22.80 0.9891 0.9881 0.9832  13.65  14.28  16.48  41.12 
2002spr 0.9935 0.9929 0.9925  11.66  11.97  12.00  20.20 0.9910 0.9901 0.9830  15.23  15.75  20.22  49.82 
2002sum 0.9923 0.9913 0.9908   8.99   9.23   9.33  14.97 0.9898 0.9890 0.9809  17.21  17.59  22.60  52.87 
2002fal 0.9931 0.9920 0.9917  11.29  11.85  11.92  18.22 0.9903 0.9892 0.9822  14.80  15.46  19.54  49.15 
0203win 0.9920 0.9904 0.9903  14.49  15.42  15.46  22.94 0.9889 0.9864 0.9813  13.06  14.42  17.12  40.55 
2003spr 0.9932 0.9914 0.9912  12.22  13.33  13.25  18.06 0.9909 0.9888 0.9841  13.92  15.60  18.75  40.61 
2003sum 0.9908 0.9878 0.9877   9.96  10.85  10.79  12.46 0.9912 0.9891 0.9878  15.23  16.93  17.91  31.03 
2003fal 0.9935 0.9918 0.9917  11.64  12.41  12.40  16.29 0.9911 0.9891 0.9877  13.82  15.34  16.37  28.84 
0304win 0.9917 0.9905 0.9904  14.17  14.85  14.79  19.23 0.9897 0.9875 0.9851  12.54  13.80  15.18  29.88 
2000sum 0.9652 0.9601 0.9563  17.80  19.29  20.13  23.32 0.9612 0.9574 0.9364  30.93  32.67  39.59  62.28 
2000fal 0.9671 0.9647 0.9605  22.00  22.90  24.16  30.61 0.9546 0.9526 0.9141  29.41  30.21  39.94  66.03 
0001win 0.9700 0.9682 0.9683  25.11  25.73  25.73  29.16 0.9502 0.9478 0.9305  26.42  27.58  31.02  50.67 
2001spr 0.9725 0.9702 0.9701  21.43  22.14  22.05  24.18 0.9605 0.9581 0.9470  28.76  29.86  33.40  52.37 
2001sum 0.9730 0.9708 0.9696  15.91  16.47  16.49  18.44 0.9640 0.9606 0.9480  29.93  31.12  35.64  55.61 
2001fal 0.9771 0.9750 0.9737  20.17  20.55  20.83  24.34 0.9604 0.9581 0.9412  28.46  28.91  33.39  50.67 
0102win 0.9769 0.9752 0.9743  24.51  24.73  24.78  29.92 0.9638 0.9604 0.9460  24.48  25.55  29.14  48.10 
2002spr 0.9769 0.9751 0.9739  21.33  21.56  21.69  26.39 0.9681 0.9648 0.9443  28.19  29.30  36.29  57.98 
2002sum 0.9733 0.9704 0.9686  16.37  16.75  16.99  19.38 0.9674 0.9647 0.9432  30.17  31.00  38.50  60.25 
2002fal 0.9772 0.9747 0.9737  20.44  20.93  21.12  24.53 0.9685 0.9652 0.9469  26.10  27.36  33.35  56.03 
0203win 0.9777 0.9748 0.9737  24.06  24.68  25.09  29.53 0.9673 0.9625 0.9483  22.09  23.87  28.24  46.82 
2003spr 0.9784 0.9747 0.9739  21.10  22.25  22.24  23.44 0.9709 0.9661 0.9510  24.50  26.46  32.03  48.04 
2003sum 0.9744 0.9695 0.9693  15.97  16.76  16.72  16.41 0.9725 0.9680 0.9651  26.64  28.61  29.83  37.50 
