199801  15.42  27.55  41.63  56.28  70.20 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199802  15.76  27.24  39.99  53.34  66.27 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199803  15.58  26.38  38.68  53.07  67.53 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199804  14.63  24.92  36.19  50.30  64.08 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199805  14.36  24.29  35.73  47.91  60.44 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199806  13.17  23.36  34.32  45.28  56.12 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199807  11.70  21.73  31.64  41.41  50.58 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199808  11.62  21.79  32.65  42.71  52.23 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199809  13.30  25.88  39.63  54.79  67.60 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199810  13.68  25.13  38.35  53.59  66.71 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199811  12.90  23.19  34.55  46.57  60.12 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
199812  14.89  27.19  40.71  55.37  69.90 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 -999.99 
